Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
1,Los Angeles Lakers,W,P,67,15,.817,8.55,107.85,98.79,9.05,8.41,107.66,98.75,8.92
2,Portland Trail Blazers,W,P,59,23,.720,6.40,108.75,101.67,7.08,6.37,108.71,101.68,7.03
3,San Antonio Spurs,W,M,53,29,.646,5.94,105.83,99.45,6.38,5.93,105.67,99.30,6.37
4,Phoenix Suns,W,P,53,29,.646,5.22,105.04,99.66,5.38,5.24,104.90,99.48,5.41
5,Utah Jazz,W,M,55,27,.671,4.46,107.97,103.09,4.88,4.52,108.00,103.06,4.94
6,Indiana Pacers,E,C,56,26,.683,4.60,109.17,104.21,4.95,4.16,109.05,104.58,4.47
7,Sacramento Kings,W,P,44,38,.537,2.91,105.62,102.58,3.04,3.04,105.61,102.43,3.19
8,Minnesota Timberwolves,W,M,50,32,.610,2.52,106.98,104.10,2.87,2.67,107.05,104.03,3.02
9,Miami Heat,E,A,52,30,.634,3.11,105.39,102.08,3.31,2.75,105.16,102.24,2.92
10,Charlotte Hornets,E,C,49,33,.598,2.67,105.00,102.22,2.79,2.34,104.84,102.41,2.43
11,New York Knicks,E,A,50,32,.610,1.46,103.10,101.53,1.58,1.30,102.89,101.48,1.40
12,Detroit Pistons,E,C,42,40,.512,1.44,108.14,106.54,1.60,1.13,108.18,106.91,1.27
13,Seattle SuperSonics,W,P,45,37,.549,0.95,106.19,105.33,0.87,1.17,106.32,105.21,1.11
14,Philadelphia 76ers,E,A,49,33,.598,1.34,102.24,100.80,1.44,1.02,102.00,100.91,1.09
15,Orlando Magic,E,A,41,41,.500,0.68,103.35,102.37,0.97,0.43,103.13,102.44,0.69
16,Milwaukee Bucks,E,C,42,40,.512,0.22,109.07,108.82,0.25,-0.05,109.15,109.19,-0.05
17,Dallas Mavericks,W,M,40,42,.488,-0.57,107.33,107.86,-0.52,-0.28,107.59,107.80,-0.22
18,Toronto Raptors,E,C,45,37,.549,-0.16,105.46,105.53,-0.06,-0.46,105.32,105.71,-0.39
19,Houston Rockets,W,M,34,48,.415,-0.87,105.53,106.55,-1.02,-0.56,105.72,106.41,-0.69
20,Boston Celtics,E,A,35,47,.427,-0.76,105.41,106.26,-0.85,-1.00,105.46,106.57,-1.11
21,New Jersey Nets,E,A,31,51,.378,-1.04,105.93,107.12,-1.19,-1.18,105.98,107.31,-1.33
22,Denver Nuggets,W,M,35,47,.427,-2.12,104.19,106.44,-2.25,-1.76,104.37,106.23,-1.86
23,Washington Wizards,E,A,29,53,.354,-3.28,104.29,107.71,-3.42,-3.47,104.30,107.92,-3.62
24,Cleveland Cavaliers,E,C,32,50,.390,-3.50,101.04,104.85,-3.81,-3.64,100.87,104.83,-3.96
25,Vancouver Grizzlies,W,M,22,60,.268,-5.62,103.34,109.50,-6.17,-5.10,103.66,109.26,-5.60
26,Atlanta Hawks,E,C,28,54,.341,-5.38,102.68,108.46,-5.78,-5.41,102.68,108.50,-5.82
27,Golden State Warriors,W,P,19,63,.232,-8.27,100.40,109.04,-8.64,-7.62,100.70,108.65,-7.96
28,Chicago Bulls,E,C,17,65,.207,-9.40,95.50,105.93,-10.43,-9.23,95.42,105.65,-10.23
29,Los Angeles Clippers,W,P,15,67,.183,-11.52,98.61,110.91,-12.30,-10.73,99.00,110.44,-11.45
